Number,Signal,IOStandard
BB22,AUD_BCKAD_R,LVCMOS18
BA24,AUD_BCKDA_R,LVCMOS18
BA25,AUD_DIN<1>,LVCMOS18
BD21,AUD_DIN<2>,LVCMOS18
BC21,AUD_DIN<3>,LVCMOS18
BB23,AUD_DIN<4>,LVCMOS18
BB24,AUD_DOUT<1>,LVCMOS18
BF22,AUD_DOUT<2>,LVCMOS18
BE22,AUD_DOUT<3>,LVCMOS18
BE23,AUD_LRCKAD_R,LVCMOS18
BD23,AUD_LRCKDA_R,LVCMOS18
BD22,AUD_RST,LVCMOS18
BC23,AUD_SCKI_R,LVCMOS18
BF24,AUD_SCL,LVCMOS18
BE24,AUD_SDA,LVCMOS18
AN41,B2B_CLKN<0>,DIFF_HSTL_I_18 (Default)
AK39,B2B_CLKN<1>,DIFF_HSTL_I_18 (Default)
AF39,B2B_CLKN<2>,DIFF_HSTL_I_18 (Default)
AB39,B2B_CLKN<3>,DIFF_HSTL_I_18 (Default)
V39,B2B_CLKN<4>,DIFF_HSTL_I_18 (Default)
R41,B2B_CLKN<5>,DIFF_HSTL_I_18 (Default)
AC8,B2B_CLKN<6>,DIFF_HSTL_I_18 (Default)
R8,B2B_CLKN<7>,DIFF_HSTL_I_18 (Default)
L8,B2B_CLKN<8>,DIFF_HSTL_I_18 (Default)
AE8,B2B_CLKN<9>,DIFF_HSTL_I_18 (Default)
AN40,B2B_CLKP<0>,DIFF_HSTL_I_18 (Default)
AK38,B2B_CLKP<1>,DIFF_HSTL_I_18 (Default)
AF38,B2B_CLKP<2>,DIFF_HSTL_I_18 (Default)
AB38,B2B_CLKP<3>,DIFF_HSTL_I_18 (Default)
V38,B2B_CLKP<4>,DIFF_HSTL_I_18 (Default)
R40,B2B_CLKP<5>,DIFF_HSTL_I_18 (Default)
AC9,B2B_CLKP<6>,DIFF_HSTL_I_18 (Default)
R9,B2B_CLKP<7>,DIFF_HSTL_I_18 (Default)
L9,B2B_CLKP<8>,DIFF_HSTL_I_18 (Default)
AE9,B2B_CLKP<9>,DIFF_HSTL_I_18 (Default)
AJ13,CB_nPOR,LVCMOS18
AL12,CB_nRST,LVCMOS18
AL32,CB_RSVD_F<0>,LVCMOS18
AL35,CB_RSVD_F<1>,LVCMOS18
AL34,CB_RSVD_F<2>,LVCMOS18
AK12,CB_RUN,LVCMOS18
G18,CFG_CLK,LVCMOS18
D20,CFG_DATAIN,LVCMOS18
D19,CFG_DATAOUT,LVCMOS18
D17,CFG_LOAD,LVCMOS18
D16,CFG_nRST,LVCMOS18
C20,CFG_WnR,LVCMOS18
F31,CLK_BIDIR_R_N<2>,LVDS
H30,CLK_BIDIR_R_N<3>,LVDS
G31,CLK_BIDIR_R_P<2>,LVDS
H29,CLK_BIDIR_R_P<3>,LVDS
F30,CLK_M2C_N<0>,LVDS
P32,CLK_M2C_N<1>,LVDS
G30,CLK_M2C_P<0>,LVDS
R32,CLK_M2C_P<1>,LVDS
AK15,CS_nDET,LVCMOS18
AM14,CS_nSRST,LVCMOS18
AL14,CS_nTRST,LVCMOS18
AR15,CS_T_CLKA_R,LVCMOS18
AP15,CS_T_CLKB_R,LVCMOS18
AN15,CS_T_CTL,LVCMOS18
